accuracy,amt_w_service,avg_rating,bathrooms,bedrooms,can_instant_book,checkin,cleanliness,communication,currency,guest_satisfication,host_id,host_reviews,is_business_travel_ready,is_fully_refundable,is_new_listing,is_superhost,lat,listing_name,lng,localized_city,localized_neighborhood,location,monthly_price_factor,num_beds,person_capacity,picture_count,price,rate_type,response_rate,response_time,reviews_count,room_type_category,star_rating,url,value,weekly_price_factor
10,30,4.9,1.0,1,True,9,10,10,CAD,98,48372416,29,False,True,False,True,49.22656,1 bedroom in the private central location house,-122.98469,Burnaby,Burnaby,9,0.72,1,1,7,30,nightly,100,within an hour,8,private_room,5.0,https://www.airbnb.com/rooms/31699243,10,0.9400000000000001
9,22,4.15,3.0,1,False,10,8,10,CAD,83,112428771,130,False,True,False,False,49.2776,Shared House for Work&Holiday Travellers,-123.07051,Vancouver,Grandview-Woodland,9,0.62,1,2,16,22,nightly,99,within an hour,8,shared_room,4.0,https://www.airbnb.com/rooms/20733342,8,1.0
10,28,4.75,1.0,1,False,10,9,10,CAD,95,1886797,43,False,True,False,True,49.2398,Comfortable room available in East Vancouver,-123.08463,Vancouver,Kensington-Cedar Cottage,10,0.75,1,1,11,28,nightly,100,within an hour,4,private_room,5.0,https://www.airbnb.com/rooms/2055456,10,1.0
0,30,,1.0,1,True,0,0,0,CAD,0,250735581,11,False,True,False,False,49.24064,Beautiful room in Vancouver,-123.04098,Vancouver,Renfrew-Collingwood,0,1.0,1,1,7,30,nightly,100,within an hour,0,private_room,,https://www.airbnb.com/rooms/33292435,0,1.0
10,99,4.75,1.0,1,True,10,10,10,CAD,95,140847485,92,False,True,False,False,49.26692,Garden Rental in the a Heart of Kitsilano,-123.18388,Vancouver,Kitsilano,10,0.85,1,2,10,99,nightly,100,within an hour,92,entire_home,5.0,https://www.airbnb.com/rooms/19893876,10,0.9500000000000001
10,34,4.95,2.0,1,False,10,10,10,CAD,99,224096197,28,False,True,False,True,49.26245,Comfy private room with a double bed in East Van,-123.06162,Vancouver,Grandview-Woodland,10,0.8,1,2,16,34,nightly,100,within a few hours,16,private_room,5.0,https://www.airbnb.com/rooms/30326867,10,0.88
10,99,4.85,1.0,1,False,10,10,10,CAD,97,7077434,169,False,True,False,True,49.27169,Suite Life on Kitchener Street,-123.0659,Vancouver,Grandview-Woodland,10,0.75,2,3,19,99,nightly,100,within a few hours,168,entire_home,5.0,https://www.airbnb.com/rooms/1301620,10,0.9
10,105,5.0,1.0,1,False,10,10,10,CAD,100,851779,637,False,True,False,True,49.2573,❤️ Private Room in Brick Loft Apt,-123.10274,Vancouver,Mount Pleasant,10,1.0,1,2,33,105,nightly,100,within an hour,76,private_room,5.0,https://www.airbnb.com/rooms/25194833,10,1.0
10,110,4.75,1.0,1,True,10,10,10,CAD,95,77383974,112,False,True,False,False,49.28089,1 Bedroom Suite w/ private entry. Hastings/Sunrise,-123.06237,Vancouver,Grandview-Woodland,10,1.0,1,4,12,110,nightly,100,within an hour,110,entire_home,5.0,https://www.airbnb.com/rooms/21577211,10,1.0
10,189,4.75,1.0,2,True,10,10,10,CAD,95,215017494,141,False,True,False,True,49.21274,New 2 BRs Suite just mins from Skytrain Station,-123.1209,Vancouver,Marpole,10,1.0,2,4,21,189,nightly,100,within an hour,141,entire_home,5.0,https://www.airbnb.com/rooms/28486232,9,1.0
