accuracy,amt_w_service,avg_rating,bathrooms,bedrooms,can_instant_book,checkin,cleanliness,communication,currency,guest_satisfication,host_id,host_reviews,is_business_travel_ready,is_fully_refundable,is_new_listing,is_superhost,lat,listing_name,lng,localized_city,localized_neighborhood,location,monthly_price_factor,num_beds,person_capacity,picture_count,price,rate_type,response_rate,response_time,reviews_count,room_type_category,star_rating,url,value,weekly_price_factor
10,22,4.74,1.0,1.0,True,10,9,10,CAD,95,43548195,311,False,True,False,True,21.13566,C1 ✪ Renovado Mini Room A/C laguna y mar,-86.76741,Cancún,,10,0.88,1,2,19,22,nightly,100,within an hour,50,private_room,5.0,https://www.airbnb.com/rooms/20776319,10,0.88
10,28,4.93,1.0,1.0,False,10,10,10,CAD,99,94835591,147,False,True,False,True,21.14571,"Habitación privada en la mejor ubicación, alberca.",-86.8419,Cancún,,10,0.85,1,2,22,28,nightly,100,within a few hours,108,private_room,5.0,https://www.airbnb.com/rooms/16492050,10,0.9
10,30,4.72,1.5,1.0,True,10,9,10,CAD,94,85187388,1376,False,True,False,False,21.13119,"BEST LOCATION IN HOTEL ZONE, SECURE AND COZY!",-86.76394,Cancún,,9,1.0,1,2,14,30,nightly,100,within an hour,243,private_room,4.5,https://www.airbnb.com/rooms/14266451,9,1.0
10,24,4.75,1.0,2.0,True,10,9,10,CAD,95,91309199,179,False,True,False,True,21.15737,Aparment for all the family in Cancun´s downtown,-86.83975,Cancún,,10,0.79,2,5,27,24,nightly,97,within an hour,177,entire_home,5.0,https://www.airbnb.com/rooms/17625889,10,0.93
10,21,4.65,1.0,1.0,True,10,9,10,CAD,93,128623591,631,False,True,False,False,21.15327,PRIVATE ROOM. A / C. BREAKFAST. PRIVATE ACCESS,-86.85548,Cancún,,9,0.8,2,3,18,21,nightly,100,within an hour,194,entire_home,4.5,https://www.airbnb.com/rooms/18543147,9,0.9500000000000001
10,29,4.84,1.0,1.0,True,10,10,10,CAD,97,117373947,521,False,True,False,True,21.16548,Mi CaSiTa DoS,-86.83124,Cancún,,10,1.0,1,2,18,29,nightly,100,within an hour,196,entire_home,5.0,https://www.airbnb.com/rooms/21853372,10,1.0
10,29,4.91,1.0,1.0,False,10,10,10,CAD,98,26074835,1735,False,True,False,True,21.15451,Charming private room away from tourist area ☆☆☆☆☆,-86.82283,Cancún,,10,1.0,1,2,25,29,nightly,100,within an hour,324,private_room,5.0,https://www.airbnb.com/rooms/8798839,10,0.9
10,28,4.95,1.0,1.0,True,10,10,10,CAD,99,155168508,64,False,True,False,True,21.184435,Tropical Experience Cancun-Cozy Room Cancun City,-86.830498,Cancún,,9,1.0,1,3,22,28,nightly,100,within an hour,63,private_room,5.0,https://www.airbnb.com/rooms/21413573,10,1.0
10,24,4.68,1.0,1.0,True,9,10,10,CAD,94,10831142,176,False,True,False,False,21.14824,Casa Lava,-86.82724,Cancún,,9,0.9,1,2,13,24,nightly,95,within an hour,171,private_room,4.5,https://www.airbnb.com/rooms/20122417,10,0.9500000000000001
10,25,4.7,1.0,1.0,True,10,9,10,CAD,94,126301804,213,False,True,False,False,21.15759,RECÁMARA ANONA CANCÚN a 7 min de ZONA HOTELERA,-86.83295,Cancún,,10,1.0,1,2,24,25,nightly,97,within an hour,118,entire_home,4.5,https://www.airbnb.com/rooms/23809351,10,1.0
10,21,4.73,1.0,1.0,True,10,9,10,CAD,95,1493999,794,False,True,False,True,21.15632,"Private Room in Awesome Location Center, A/C, WiFi",-86.82755,Cancún,,10,0.8200000000000001,1,2,23,21,nightly,100,within an hour,232,private_room,5.0,https://www.airbnb.com/rooms/12862948,10,0.9500000000000001
10,26,4.63,1.0,1.0,True,10,10,10,CAD,93,104711197,221,False,True,False,False,21.136717,Studio Tortugas,-86.768501,Cancún,,10,0.6900000000000001,1,3,23,26,nightly,100,within an hour,94,entire_home,4.5,https://www.airbnb.com/rooms/17286138,10,0.9500000000000001
10,32,4.86,1.0,1.0,True,10,10,10,CAD,97,124157959,853,False,True,False,True,21.152481,"COZY AND NEW LOFT in DT Cancun, great location!",-86.82589,Cancún,,10,1.0,1,3,33,32,nightly,100,within an hour,108,entire_home,5.0,https://www.airbnb.com/rooms/20655429,10,1.0
10,28,4.7,1.0,1.0,True,9,10,10,CAD,94,2829558,377,False,True,False,False,21.182236,Studio Apartment 700 yards from the Beach!,-86.813423,Cancún,,8,0.85,1,2,63,28,nightly,100,within an hour,50,entire_home,4.5,https://www.airbnb.com/rooms/24555833,10,0.9500000000000001
10,30,4.85,1.0,1.0,True,10,9,10,CAD,97,66920082,584,False,True,False,True,21.14624,Common People #1 studio,-86.84818,Cancún,,9,1.0,1,2,9,30,nightly,100,within an hour,142,private_room,5.0,https://www.airbnb.com/rooms/22833853,10,1.0
10,32,4.87,1.0,1.0,False,10,10,10,CAD,97,123135974,231,False,True,False,True,21.14992,Condominio Skalia Cancun,-86.84556,Cancún,,9,0.85,1,2,25,32,nightly,100,within an hour,223,private_room,5.0,https://www.airbnb.com/rooms/18507595,10,0.9
10,28,4.93,1.5,1.0,False,10,10,10,CAD,99,141163019,343,False,True,False,True,21.15451,Comfortable  Room in a Modern&Friendly Apartment,-86.824036,Cancún,,10,1.0,1,2,14,28,nightly,100,within an hour,129,private_room,5.0,https://www.airbnb.com/rooms/20947435,10,0.9
9,28,4.08,1.0,1.0,True,9,8,9,CAD,82,167101534,99,False,True,False,False,21.135078,Habitacion en zona hotelera,-86.754189,Cancún,,10,0.71,1,2,14,28,nightly,93,within an hour,65,private_room,4.0,https://www.airbnb.com/rooms/22705372,8,0.9
9,25,4.68,1.0,1.0,True,10,9,10,CAD,94,104900617,268,False,True,False,True,21.154005,Comfortable & Spacious Room with Air Conditioner,-86.824165,Cancún,,10,0.85,1,2,12,25,nightly,100,within an hour,65,private_room,4.5,https://www.airbnb.com/rooms/29513553,9,0.9500000000000001
9,21,4.59,1.0,1.0,True,10,9,10,CAD,92,211359632,88,False,True,False,False,21.164539,Beautiful Private Room in the heart of Cancun,-86.822495,Cancún,,10,1.0,1,2,16,21,nightly,100,within an hour,44,private_room,4.5,https://www.airbnb.com/rooms/28490721,9,0.84
9,22,4.38,1.0,1.0,True,9,10,8,CAD,88,54884467,513,False,True,False,False,21.14912,Cancun Malecon Americas,-86.82649,Cancún,,9,1.0,1,2,18,22,nightly,94,within an hour,228,private_room,4.5,https://www.airbnb.com/rooms/10632353,9,0.89
10,25,4.73,1.0,1.0,True,10,10,10,CAD,95,448818,2267,False,True,False,True,21.165768,CANCUN GUEST HOUSE # 3,-86.828506,Cancún,,10,0.8,1,2,32,25,nightly,100,within an hour,581,entire_home,5.0,https://www.airbnb.com/rooms/190126,10,0.87
10,29,4.77,1.0,1.0,True,10,10,10,CAD,95,117373947,521,False,True,False,True,21.16495,Mi CaSiTa uNo,-86.82905,Cancún,,10,1.0,1,2,10,29,nightly,100,within an hour,324,entire_home,5.0,https://www.airbnb.com/rooms/19036570,10,1.0
