accuracy,amt_w_service,avg_rating,bathrooms,bedrooms,can_instant_book,checkin,cleanliness,communication,currency,guest_satisfication,host_id,host_reviews,is_business_travel_ready,is_fully_refundable,is_new_listing,is_superhost,lat,listing_name,lng,localized_city,localized_neighborhood,location,monthly_price_factor,num_beds,person_capacity,picture_count,price,rate_type,response_rate,response_time,reviews_count,room_type_category,star_rating,url,value,weekly_price_factor
10,40,4.9,1.0,1,True,10,10,10,CAD,98,17947415,167,False,True,False,True,49.213566,Private Room with Parking,-123.01435900000001,Burnaby,Burnaby,9,0.9,1,1,10,40,nightly,100,within an hour,89,private_room,5.0,https://www.airbnb.com/rooms/15842661,10,1.0
10,74,4.65,1.0,1,True,10,10,10,CAD,93,20045036,815,False,True,False,False,49.24884,Great location.  Heart of the City.,-123.09478,Vancouver,Riley Park,10,0.9,0,2,10,74,nightly,100,within an hour,126,private_room,4.5,https://www.airbnb.com/rooms/20801787,9,0.95
10,79,4.7,1.0,1,False,10,10,10,CAD,94,23069890,760,False,True,False,False,49.22472,Pumpkin Spice Rest in Kerrisdale,-123.1388,Vancouver,Oakridge,10,0.92,1,2,16,79,nightly,100,within an hour,275,private_room,4.5,https://www.airbnb.com/rooms/5562730,10,0.95
10,60,4.8,1.0,1,True,10,10,10,CAD,96,11824155,137,False,True,False,True,49.24049,Spacious room with own private washroom,-123.04898999999999,Vancouver,Renfrew-Collingwood,9,0.9,1,2,7,60,nightly,100,within an hour,59,private_room,5.0,https://www.airbnb.com/rooms/20361528,10,0.95
10,116,4.95,1.0,1,True,10,10,10,CAD,99,248766174,23,False,True,False,False,49.21015,Beautifully furnished and pet friendly condo,-123.11825,Vancouver,Marpole,10,1.0,1,2,15,116,nightly,100,within an hour,23,entire_home,5.0,https://www.airbnb.com/rooms/33051289,10,1.0
10,34,4.75,2.0,1,True,10,10,10,CAD,95,200375818,25,False,True,False,True,49.16196,Single bed Private bedroom near YVR Airport,-123.1769,Richmond,,10,0.72,1,1,10,34,nightly,100,within an hour,17,private_room,5.0,https://www.airbnb.com/rooms/30908945,10,0.9
10,126,4.85,1.0,1,False,10,10,10,CAD,97,12009301,70,False,True,False,True,49.27551,Modern Chinatown 1 BR + Parking,-123.09901,Vancouver,Strathcona,10,1.0,1,3,7,126,nightly,92,within an hour,63,entire_home,5.0,https://www.airbnb.com/rooms/27833919,10,1.0
10,40,4.5,1.0,1,True,10,9,10,CAD,90,259133275,2,False,True,True,False,49.22575,Metrotown Cozy Home !,-122.98855,Burnaby,Burnaby,9,0.92,1,1,8,40,nightly,91,within an hour,2,private_room,,https://www.airbnb.com/rooms/34324060,10,0.95
10,130,4.95,1.0,1,True,10,10,10,CAD,99,4693732,167,False,True,False,True,49.247209999999995,"Dunbar near UBC, modern + clean",-123.18621999999999,Vancouver,Dunbar-Southlands,10,0.7000000000000001,1,2,17,130,nightly,100,within an hour,164,entire_home,5.0,https://www.airbnb.com/rooms/885600,10,0.8
10,151,4.95,1.0,1,False,10,10,10,CAD,99,81543148,232,False,True,False,True,49.26129,Best Vancouver Location,-123.11147,Vancouver,Mount Pleasant,10,1.0,2,4,16,151,nightly,100,within a few hours,57,entire_home,5.0,https://www.airbnb.com/rooms/26605128,10,1.0
10,125,4.75,1.0,1,True,10,10,10,CAD,95,117802311,135,False,True,False,False,49.27245,Kim's Place,-123.05013000000001,Vancouver,Hastings-Sunrise,9,0.67,1,2,19,125,nightly,100,within an hour,111,entire_home,5.0,https://www.airbnb.com/rooms/17605873,9,0.84
10,155,4.85,1.0,0,False,10,10,10,CAD,97,62870356,203,False,True,False,True,49.27987,Home Sweet Home East Village,-123.06021000000001,Vancouver,Grandview-Woodland,9,1.0,1,2,24,155,nightly,100,within an hour,69,entire_home,5.0,https://www.airbnb.com/rooms/13158407,10,1.0
10,155,4.95,1.0,1,False,10,10,10,CAD,99,7990385,42,False,True,False,True,49.27551,Hastings Sunrise - Modern & renovated garden suite,-123.04961999999999,Vancouver,Hastings-Sunrise,10,1.0,2,4,13,155,nightly,100,within an hour,35,entire_home,5.0,https://www.airbnb.com/rooms/30272634,10,1.0
9,151,4.0,1.0,1,True,9,8,9,CAD,80,221197962,25,False,True,False,False,49.278909999999996,One of a kind patio in downtown Vancouver - 1 bd,-123.12833,Vancouver,Downtown Vancouver,10,1.0,1,2,9,151,nightly,100,within an hour,25,entire_home,4.0,https://www.airbnb.com/rooms/29360878,8,1.0
